City,Country,Max Temperature,Humidity,Wind Speed,Latitude,Longditude,Cloudiness,Date
Shimoda,JP,4.44,57,0.45,34.7,138.93,0,1553377372
Punta Arenas,CL,12.0,76,4.6,-53.16,-70.91,75,1553377995
East London,ZA,24.72,91,11.52,-33.02,27.91,0,1553378467
Carnarvon,ZA,20.97,22,1.17,-30.97,22.13,92,1553378467
Grand Prairie,US,21.11,68,7.2,32.75,-97.0,90,1553378225
Ust-Nera,RU,-25.13,53,0.97,64.57,143.24,32,1553378467
Port Alfred,ZA,22.78,94,0.45,-33.59,26.89,0,1553378329
Khani,GE,5.0,100,3.6,41.96,42.96,90,1553374800
Codrington,AU,23.89,88,2.1,-28.95,153.24,20,1553378447
Saint-Philippe,CA,1.67,54,5.62,45.36,-73.48,1,1553378453
Tuktoyaktuk,CA,-11.0,72,12.3,69.44,-133.03,90,1553374800
Te Anau,NZ,13.87,76,1.67,-45.41,167.72,88,1553378469
Cape Town,ZA,20.56,88,4.1,-33.93,18.42,0,1553378117
Mtsensk,RU,-5.78,80,1.37,53.28,36.58,0,1553378244
Batagay-Alyta,RU,-23.28,62,1.22,67.8,130.41,44,1553378244
Thompson,CA,-8.0,44,8.2,55.74,-97.86,20,1553374800
Poum,MK,1.87,82,0.82,41.28,20.71,0,1553378245
Chokurdakh,RU,-27.28,49,1.32,70.62,147.9,44,1553378429
Tokur,RU,-22.63,59,1.07,53.13,132.9,12,1553378246
Chuy,UY,22.32,79,2.97,-33.69,-53.46,0,1553378439
Ambulu,ID,24.57,100,1.67,-8.35,113.61,32,1553378246
Buraydah,SA,21.0,46,1.0,26.33,43.97,0,1553374800
Puerto Narino,CO,28.0,83,2.1,-3.77,-70.38,75,1553374800
Muli,IN,19.97,48,1.32,22.62,71.45,0,1553378247
Bien Hoa,VN,28.0,83,4.6,10.95,106.82,20,1553374800
Nikolskoye,RU,4.0,93,3.0,59.7,30.79,90,1553378435
Yellowknife,CA,-12.0,46,5.1,62.45,-114.38,20,1553378234
Severo-Kurilsk,RU,-1.13,99,7.37,50.68,156.12,80,1553378473
Mahanoro,MG,21.37,100,1.52,-19.9,48.8,92,1553378248
Chiriqui Grande,PA,17.22,46,2.68,8.95,-82.12,68,1553377799
Grindavik,IS,1.11,100,4.6,63.84,-22.43,75,1553377598
Hobart,AU,18.89,72,3.6,-42.88,147.33,20,1553378241
Sao Filipe,CV,21.47,97,6.47,14.9,-24.5,0,1553378475
Sibolga,ID,20.52,100,0.32,1.74,98.78,80,1553378250
Bathsheba,BB,28.0,65,7.7,13.22,-59.52,40,1553374800
Vrangel,RU,-2.03,100,6.12,42.73,133.08,0,1553378250
Bluff,AU,21.02,90,1.32,-23.58,149.07,0,1553378476
Maumere,ID,28.12,97,6.37,-8.63,122.22,64,1553378476
Caravelas,BR,26.97,100,8.82,-17.73,-39.27,88,1553378476
Santo Antonio do Ica,BR,31.07,69,2.52,-3.1,-67.94,12,1553378251
Naron,ES,15.0,62,6.27,43.52,-8.15,0,1553378007
Huzhou,CN,7.22,90,2.12,30.86,120.1,0,1553377967
Castro,CL,14.0,71,1.22,-42.48,-73.76,75,1553374800
Sept-Iles,CA,-1.0,63,6.7,50.2,-66.38,75,1553378010
Eenhana,NA,24.92,41,2.87,-17.48,16.34,56,1553378253
Kieta,PG,26.87,99,0.97,-6.22,155.63,80,1553378253
Lompoc,US,18.89,67,2.1,34.64,-120.46,75,1553378429
Malbork,PL,7.22,75,9.8,54.04,19.03,0,1553378209
Ornskoldsvik,SE,4.0,51,8.7,63.29,18.72,20,1553377800
Nizwa,OM,18.12,78,1.82,22.93,57.53,92,1553378079
Dire,ET,12.12,60,2.77,9.18,38.92,0,1553378254
Gillette,US,11.11,90,2.1,44.29,-105.5,90,1553377652
Simao,CN,13.92,70,0.87,22.76,100.79,44,1553378255
Naze,NG,25.0,88,1.5,5.43,7.07,20,1553374800
Chincha Alta,PE,22.0,30,9.8,-13.42,-76.13,40,1553374800
Kavaratti,IN,28.52,100,3.67,10.57,72.64,0,1553378480
Puerto Ayora,EC,29.0,74,5.1,-0.74,-90.35,20,1553377624
Arraial do Cabo,BR,26.0,78,2.6,-22.97,-42.02,20,1553374800
Poso,ID,25.27,100,1.07,-1.4,120.75,64,1553378256
Birao,CF,27.27,19,3.92,10.3,22.78,0,1553378256
Lorengau,PG,27.82,100,5.47,-2.02,147.27,88,1553378481
Rancho Palos Verdes,US,19.44,72,6.2,33.75,-118.37,40,1553378015
Qaanaaq,GL,-29.93,93,4.82,77.48,-69.36,8,1553378482
Nara,JP,6.0,80,2.1,34.68,135.8,40,1553378350
Paita,PE,17.0,290,5.42,-5.09,-81.11,0,1553374800
Mar del Plata,AR,15.97,64,4.72,-46.43,-67.52,64,1553378405
Santa Cruz Cabralia,BR,25.0,98,2.1,-16.28,-39.02,75,1553374800
Vardo,US,11.11,13,7.7,39.62,-77.74,1,1553378475
Faya,SA,17.0,39,1.77,18.39,42.45,0,1553374800
Caledon,ZA,19.44,90,1.52,-34.23,19.43,76,1553377624
Sabang,PH,23.27,93,4.42,13.72,123.58,0,1553378259
Lazarev,RU,-18.78,57,3.27,52.23,141.51,8,1553378259
Ochamchira,GE,5.57,100,2.57,42.71,41.47,92,1553378259
Burns Lake,CA,6.52,51,1.32,54.23,-125.76,8,1553378260
Arlit,NE,24.62,28,3.92,18.74,7.39,44,1553378260
Chapais,CA,-3.0,32,5.7,49.78,-74.86,1,1553374800
Sitka,US,17.78,45,2.68,37.17,-99.65,0,1553378455
Havre-Saint-Pierre,CA,-2.0,79,7.2,50.23,-63.6,90,1553377560
Shubarshi,KZ,2.47,72,2.27,48.59,57.19,76,1553378261
Richards Bay,ZA,21.47,95,2.92,-28.77,32.06,44,1553378487
Ko Samui,TH,29.07,100,4.47,9.54,99.94,0,1553378261
Georgetown,GY,29.0,70,5.1,6.8,-58.16,20,1553374800
Geraldton,CA,11.0,17,7.7,49.72,-86.95,5,1553374800
Presidencia Roque Saenz Pena,AR,28.32,54,3.02,-26.79,-60.44,0,1553378262
Aswan,EG,22.37,35,3.02,24.09,32.9,8,1553378262
Katsuura,JP,5.0,80,5.7,33.93,134.5,20,1553378018
Guerrero Negro,MX,22.22,49,4.92,27.97,-114.04,0,1553378489
Thinadhoo,MV,29.22,100,3.67,0.53,72.93,92,1553378489
Mackenzie,CA,8.0,94,3.1,55.34,-123.09,90,1553374800
Dzialdowo,PL,8.0,81,5.1,53.24,20.17,20,1553374800
Pimentel,BR,24.72,99,1.17,-3.7,-45.5,44,1553378264
Gambela,ET,23.37,66,0.72,8.25,34.59,68,1553378264
Alice Springs,AU,28.0,51,4.6,-23.7,133.88,36,1553374800
Bambous Virieux,MU,28.0,78,5.7,-20.34,57.76,75,1553378340
Riyadh,SA,20.0,68,2.6,24.63,46.72,0,1553374800
Dikson,RU,-7.63,93,9.52,73.51,80.55,88,1553378492
Manica,MZ,19.0,100,4.1,-18.94,32.88,75,1553374800
Aliaga,PH,25.0,78,1.0,15.5,120.85,75,1553374800
Siuna,NI,28.77,49,1.52,13.73,-84.78,0,1553378266
Cidreira,BR,21.67,79,2.42,-30.17,-50.22,0,1553378493
Preobrazheniye,RU,-9.08,60,1.67,42.9,133.91,0,1553378267
Pecos,US,26.0,11,4.6,31.42,-103.49,1,1553377936
Iqaluit,CA,-14.0,77,10.8,63.75,-68.52,90,1553377970
Itaituba,BR,29.0,74,2.02,-4.26,-55.99,40,1553374800
Pastos Bons,BR,27.52,76,1.97,-6.6,-44.09,76,1553378268
Linxia,CN,-9.43,72,1.07,35.6,103.21,8,1553378268
Kodiak,US,13.0,69,5.1,39.95,-94.76,90,1553378486
Pangnirtung,CA,-17.88,73,11.32,66.15,-65.72,80,1553378495
Vaitape,PF,29.47,97,4.47,-16.52,-151.75,8,1553378269
Cherskiy,RU,-22.98,50,0.87,68.75,161.3,20,1553378495
Kontagora,NG,27.27,59,0.02,10.4,5.47,0,1553378270
Lavrentiya,RU,-9.28,100,5.72,65.58,-170.99,92,1553378496
Fortuna,ES,15.0,76,1.5,38.18,-1.13,0,1553378485
Saskylakh,RU,-31.88,38,1.32,71.97,114.09,0,1553378497
Beachwood,US,8.89,34,3.6,41.46,-81.51,5,1553378268
Ribeira Grande,PT,13.0,66,6.2,38.52,-28.7,20,1553374800
Srednekolymsk,RU,-20.13,52,1.07,67.46,153.71,12,1553378498
Wanning,AT,10.0,75,3.6,48.64,13.53,0,1553378258
Comodoro Rivadavia,AR,16.0,67,3.1,-45.87,-67.48,20,1553374800
Fengzhen,CN,-8.23,68,2.42,40.43,113.15,0,1553378273
Quatre Cocos,MU,28.0,78,5.7,-20.21,57.76,75,1553378340
Roald,NO,4.0,86,8.7,62.58,6.12,75,1553378103
Mount Isa,AU,25.0,83,6.7,-20.73,139.49,90,1553374800
Khatanga,RU,-28.53,28,1.37,71.98,102.47,8,1553378500
Anadyr,RU,-17.0,77,7.0,64.73,177.51,75,1553377995
Bilma,NE,26.22,12,5.82,18.69,12.92,56,1553378274
Vallenar,CL,21.87,70,1.32,-28.58,-70.76,8,1553378275
Kahului,US,28.89,48,8.7,20.89,-156.47,20,1553378034
Dharchula,IN,1.02,67,1.22,29.85,80.53,0,1553378275
New Norfolk,AU,17.22,72,3.6,-42.78,147.06,20,1553378475
Banda Aceh,ID,23.52,97,0.47,5.56,95.32,0,1553378102
Pevek,RU,-28.08,80,1.17,69.7,170.27,0,1553378502
Griffith,AU,19.0,88,2.1,-34.29,146.06,90,1553377816
Paamiut,GL,-6.78,100,5.67,61.99,-49.67,8,1553378124
Dyersburg,US,21.0,26,2.6,36.03,-89.39,1,1553378107
Bar,UA,-1.88,74,1.32,49.07,27.67,0,1553378277
Port Keats,AU,30.12,80,8.87,-14.25,129.55,88,1553378503
Atherton,GB,7.0,70,1.0,53.52,-2.49,0,1553378271
Maningrida,AU,28.47,84,6.97,-12.05,134.23,32,1553378504
Apastovo,RU,0.0,92,2.0,55.2,48.51,75,1553374800
Kailua,US,27.0,64,5.1,21.39,-157.74,75,1553378116
Namatanai,PG,27.02,100,3.92,-3.66,152.44,48,1553378504
Upernavik,GL,-21.48,100,3.22,72.79,-56.15,24,1553378505
Ketchikan,US,11.0,66,3.1,55.34,-131.65,90,1553376180
Rawson,AR,16.77,58,12.52,-43.3,-65.11,92,1553377838
Hithadhoo,MV,30.27,100,3.17,-0.6,73.08,88,1553378505
Csanadpalota,HU,10.56,48,0.5,46.25,20.73,0,1553378050
Tiarei,PF,31.0,74,7.7,-17.53,-149.33,20,1553377991
Mogadishu,SO,27.47,100,6.62,2.04,45.34,76,1553378280
Ratnagiri,IN,25.62,100,1.97,16.98,73.3,0,1553377927
Ossora,RU,-10.43,80,4.37,59.24,163.07,12,1553378506
Diphu,IN,14.22,100,1.17,25.84,93.44,36,1553378281
Rupert,US,13.0,37,3.1,42.62,-113.68,1,1553374380
Benguela,AO,27.12,100,1.07,-12.58,13.4,44,1553378281
Makakilo City,US,27.0,54,4.6,21.35,-158.09,90,1553377918
Pacific Grove,US,18.33,59,2.1,36.62,-121.92,1,1553378428
Hamilton,BM,19.0,72,8.2,32.3,-64.78,75,1553378318
Watertown,US,11.0,57,2.6,44.9,-97.12,1,1553377732
Mpongwe,ZM,20.62,68,2.97,-13.51,28.16,8,1553378283
Khandyga,RU,-26.38,44,1.07,62.65,135.58,12,1553378508
Paramonga,PE,21.27,94,3.37,-10.68,-77.82,20,1553378283
Saint-Georges,CA,1.67,61,6.26,46.12,-70.67,80,1553377624
Kargil,PK,-16.63,83,0.32,34.56,76.13,80,1553378284
Ucluelet,CA,13.33,76,4.1,48.94,-125.55,20,1553378278
Sinnamary,GF,27.22,91,5.47,5.38,-52.96,92,1553378509
Puerto Escondido,MX,29.0,70,3.1,15.86,-97.07,20,1553373660
Narsaq,GL,-11.0,51,3.1,60.91,-46.05,24,1553374200
Wajid,SO,28.72,37,4.57,3.81,43.25,0,1553378286
Greenville,US,20.56,20,3.1,34.85,-82.4,1,1553378274
Nyurba,RU,-9.73,70,3.57,63.29,118.35,64,1553378287
Hatillo,PR,27.22,74,5.7,18.49,-66.83,90,1553377982
San Vicente,SV,32.0,52,3.6,13.64,-88.78,20,1553378115
Provideniya,RU,-8.48,100,8.07,64.42,-173.23,92,1553378453
Limbuhan,PH,22.67,100,3.22,11.06,125.02,24,1553378290
Mao,DO,29.0,54,7.7,19.55,-71.08,40,1553378149
Aksu,KZ,-1.0,100,2.0,52.04,76.93,75,1553374800
Cascais,PT,19.44,39,4.6,38.7,-9.42,0,1553378168
Rocha,UY,22.52,55,3.22,-34.48,-54.34,64,1553378513
Muisne,EC,29.0,79,3.1,0.61,-80.02,75,1553374800
Nouadhibou,MR,19.0,82,5.1,20.93,-17.03,0,1553374800
Hualmay,PE,24.22,69,1.97,-11.1,-77.61,44,1553378513
Great Yarmouth,GB,7.22,81,3.12,52.61,1.73,88,1553378265
Agadez,NE,27.52,24,3.92,16.97,7.99,36,1553378182
Faanui,PF,28.87,100,4.22,-16.48,-151.75,8,1553378514
Waingapu,ID,23.52,94,2.17,-9.65,120.26,56,1553378292
Wilmington,US,11.11,21,5.1,39.75,-75.55,1,1553378268
Loding,DE,10.0,75,2.1,48.05,12.68,0,1553378276
Saint-Pierre,FR,6.0,93,2.6,48.95,4.24,0,1553378225
Puerto Madryn,AR,18.27,68,14.12,-42.77,-65.04,80,1553378294
Eydhafushi,MV,29.97,95,3.77,5.1,73.07,56,1553378515
Puerto Madero,AR,24.0,53,4.6,-34.61,-58.36,0,1553378420
Kununurra,AU,25.0,94,0.5,-15.77,128.74,8,1553374800
San Policarpo,PH,24.72,94,5.67,12.18,125.51,92,1553378179
Port-Gentil,GA,28.0,83,2.6,-0.72,8.78,40,1553374800
Port Lincoln,AU,15.72,100,2.22,-34.72,135.86,64,1553378295
Karlstad,SE,5.0,60,6.2,59.38,13.5,0,1553375713
Bandarbeyla,SO,27.02,100,4.37,9.49,50.81,92,1553378295
Sorland,NO,4.47,98,20.42,67.67,12.69,92,1553378517
Bethel,US,7.0,65,5.1,60.79,-161.76,1,1553378160
Colonia,RO,7.22,42,4.6,46.6,23.97,0,1553376600
Sande,DE,9.44,100,1.0,51.76,8.66,75,1553378288
Kakhi,AZ,5.0,75,3.1,41.42,46.93,40,1553374800
Torbay,CA,5.56,93,2.1,47.66,-52.73,90,1553377971
Labuhan,ID,22.47,95,0.62,-2.54,115.51,88,1553378519
Meulaboh,ID,25.47,100,1.52,4.14,96.13,32,1553378040
Pochutla,MX,29.44,70,3.1,15.74,-96.47,20,1553378449
Vila Praia de Ancora,PT,15.56,54,1.5,41.81,-8.85,0,1553378270
Ishim,RU,-5.63,80,3.42,56.11,69.47,76,1553378299
Sambava,MG,27.62,100,6.22,-14.27,50.17,68,1553378520
Mastic Beach,US,9.0,42,6.2,40.77,-72.85,1,1553378239
Pedernales,EC,25.62,86,3.27,0.07,-80.05,76,1553378299
Kupang,ID,27.37,96,4.02,-10.16,123.6,12,1553378300
Kloulklubed,PW,24.0,88,2.1,7.04,134.26,40,1553374200
Esperance,TT,30.0,54,3.42,10.24,-61.45,20,1553378107
Lovozero,RU,-0.48,87,4.17,68.01,35.02,64,1553378301
Hagi,JP,4.44,64,2.57,34.43,131.51,12,1553378245
Amos,CA,1.0,29,4.1,48.57,-78.12,20,1553374800
Victoria,BN,27.0,88,1.0,5.28,115.24,75,1553374800
Amahai,ID,27.42,100,4.02,-3.31,129.0,20,1553378302
Newport,GB,9.0,70,4.1,51.59,-3.0,40,1553377994
Tahlequah,US,12.78,93,5.02,35.92,-94.97,90,1553378161
Shawinigan,CA,4.0,32,2.6,46.54,-72.75,1,1553377680
Kulhudhuffushi,MV,28.87,100,2.32,6.62,73.07,0,1553378303
Hofn,IS,4.27,100,9.57,64.25,-15.21,88,1553378303
Rodrigues Alves,BR,28.0,78,1.32,-7.74,-72.65,75,1553374800
Road Town,VG,27.0,69,6.2,18.42,-64.62,20,1553378232
Annau,TM,8.0,93,2.1,37.89,58.52,20,1553374800
Bosaso,SO,25.22,100,1.72,11.28,49.18,0,1553378304
Maniitsoq,GL,-13.18,86,8.37,65.42,-52.9,68,1553378524
Marzuq,YE,12.02,89,1.12,14.4,46.47,0,1553378273
San Juan,PH,26.11,74,4.1,14.6,121.03,75,1553377568
Valle Hermoso,MX,26.0,57,7.7,25.67,-97.82,90,1553378184
Saint Anthony,US,7.78,70,1.5,43.97,-111.68,90,1553377851
Leningradskiy,RU,-21.23,86,9.07,69.38,178.42,88,1553378306
Tasiilaq,GL,-11.0,56,5.7,65.61,-37.64,0,1553374200
Caceres,CO,23.62,84,0.27,5.53,-74.53,44,1553378307
Saint George,GR,7.0,81,2.1,39.45,22.34,0,1553374200
Sawtell,AU,23.0,88,1.5,-30.38,153.1,75,1553378307
Pisco,PE,22.0,30,9.8,-13.71,-76.2,40,1553374800
Gat,SN,19.0,77,7.7,14.69,-16.54,0,1553376600
Trogir,HR,15.0,44,1.5,43.52,16.25,0,1553378168
Leh,IN,-16.68,81,0.72,34.16,77.58,88,1553378165
Saldanha,PT,12.67,47,3.42,41.42,-6.55,0,1553378528
Constitucion,MX,24.44,7,4.6,23.99,-104.67,5,1553378415
Guozhen,CN,4.42,94,1.02,29.3,113.14,92,1553378309
Baiyin,CN,-4.0,68,2.0,36.55,104.13,0,1553374800
Dingle,PH,24.47,73,5.97,11.0,122.67,0,1553378310
Gull Lake,CA,14.0,47,3.6,50.1,-108.48,1,1553374800
Midland,US,24.0,25,3.6,32.0,-102.08,32,1553377568
Katra,IN,15.0,87,0.5,32.99,74.93,40,1553373000
Soufriere,LC,29.44,66,8.2,13.86,-61.06,20,1553377707
Kuloy,RU,-2.38,90,6.32,61.03,42.49,88,1553378312
Conde,BR,27.27,92,1.62,-11.81,-37.61,80,1553378530
Kem,UG,23.02,41,4.02,2.68,33.77,0,1553378312
Puerto Montt,CL,15.0,67,2.6,-41.47,-72.94,75,1553374800
Skjervoy,NO,2.72,99,6.12,70.03,20.97,88,1553378313
Vestmannaeyjar,IS,3.02,100,10.07,63.44,-20.27,8,1553378531
Male,UA,-1.38,84,2.12,50.74,33.7,0,1553378313
Yulara,AU,26.0,39,3.6,-25.24,130.99,0,1553374800
Tarpon Springs,US,27.78,29,2.1,28.15,-82.76,90,1553378067
Nagato,JP,8.0,45,3.6,34.35,131.14,75,1553378245
Puri,ID,19.97,91,0.77,-7.54,112.45,12,1553378314
Inhambane,MZ,26.02,86,5.72,-23.87,35.38,36,1553378533
Tautira,PF,31.0,74,7.7,-17.73,-149.15,20,1553377991
Mehamn,NO,-3.78,70,3.47,71.03,27.85,0,1553378315
Alghero,IT,9.0,93,0.5,40.56,8.32,0,1553376000
Zholymbet,KZ,1.47,94,1.07,51.74,71.71,92,1553378316
Antalaha,MG,26.22,90,4.32,-14.9,50.28,32,1553378316
Neiafu,TO,26.0,69,2.6,-18.65,-173.98,75,1553374800
Norman Wells,CA,-1.0,63,8.7,65.28,-126.83,75,1553374800
Maldonado,UY,24.0,50,3.1,-34.91,-54.96,40,1553374800
Mufulira,ZM,20.32,78,3.02,-12.55,28.24,24,1553378317
Biu,NG,29.82,28,2.12,10.61,12.19,68,1553378317
Paramirim,BR,22.22,88,1.22,-13.44,-42.24,88,1553378126
Ulagan,RU,-16.38,59,1.37,50.63,87.96,0,1553378318
San Quintin,PH,16.97,83,1.52,17.54,120.52,20,1553378536
Itarema,BR,25.37,96,1.62,-2.92,-39.92,92,1553378536
Rovira,CO,26.0,88,2.1,4.24,-75.24,75,1553374800
Zhigalovo,RU,-4.43,78,2.12,54.81,105.15,80,1553378319
Nome,US,24.0,38,4.1,30.04,-94.42,90,1553378108
Lukovetskiy,RU,1.0,89,5.0,64.29,41.92,90,1553374800
Verkhnyaya Inta,RU,-4.43,76,2.82,65.99,60.32,36,1553378320
Ternate,PH,26.11,74,4.1,14.29,120.72,75,1553377568
Akdepe,TM,10.0,81,2.1,42.05,59.39,0,1553374800
Vangaindrano,MG,20.67,100,1.92,-23.35,47.6,92,1553378321
Bilibino,RU,-24.13,53,1.02,68.06,166.44,0,1553378143
Semey,KZ,-9.18,67,1.22,50.41,80.25,0,1553378321
Port-Cartier,CA,-1.0,63,6.7,50.03,-66.88,75,1553378311
Port Augusta,AU,21.67,88,3.22,-32.49,137.76,40,1553378377
Fort Nelson,CA,5.0,60,0.87,58.81,-122.69,75,1553374800
Bonthe,SL,28.37,72,2.32,7.53,-12.5,92,1553378135
Lagoa,PT,16.11,72,3.1,37.14,-8.45,0,1553378531
Coquimbo,CL,16.0,77,5.1,-29.95,-71.34,20,1553374800
Eyl,SO,26.57,96,5.22,7.98,49.82,92,1553378323
Alta Floresta,BR,27.72,81,0.52,-9.87,-56.08,36,1553378540
Iisalmi,FI,3.0,74,6.2,63.56,27.19,0,1553377800
Moche,PE,22.0,83,5.1,-8.17,-79.01,75,1553374800
Stykkisholmur,IS,1.82,99,6.72,65.08,-22.73,36,1553378324
Alofi,NU,28.0,65,4.6,-19.06,-169.92,68,1553374800
Vila Franca do Campo,PT,13.0,76,10.8,37.72,-25.43,75,1553378514
Clyde River,CA,-27.0,75,8.2,70.47,-68.59,75,1553374800
Tondano,ID,22.0,100,0.5,1.3,124.91,20,1553374800
Benghazi,LY,15.77,100,6.47,32.12,20.07,92,1553378316
Ponta do Sol,BR,23.92,73,1.42,-20.63,-46.0,88,1553378529
Jussara,BR,30.22,71,1.42,-15.87,-50.87,24,1553378326
Vradiyivka,UA,2.87,62,3.67,47.86,30.59,56,1553378327
Isla Mujeres,MX,26.0,54,4.1,21.23,-86.73,40,1553377990
Gamba,CN,-25.38,34,0.72,28.28,88.52,0,1553378327
Saint-Michel-des-Saints,CA,-0.28,46,4.97,46.68,-73.92,0,1553378327
Rensvik,NO,3.0,86,24.7,63.1,7.82,75,1553377800
Campoverde,IT,14.44,66,2.1,41.54,12.73,0,1553378326
Bugene,TZ,18.52,89,1.27,-1.59,31.14,0,1553378328
Mbandaka,CD,22.87,100,1.07,0.05,18.26,36,1553378329
Winkler,CA,8.0,100,4.1,49.19,-97.94,1,1553378240
Neuenburg,DE,5.56,93,2.1,53.39,7.95,20,1553378285
Port Hawkesbury,CA,3.33,87,3.1,45.62,-61.36,90,1553378151
Ballina,IE,7.22,86,0.89,54.11,-9.15,0,1553377927
Sarakhs,TM,9.0,87,2.1,36.54,61.16,0,1553374800
Golden,CA,12.0,37,0.97,51.3,-116.96,75,1553377505
Shanting,CN,-2.88,72,2.12,35.08,117.46,0,1553378331
Mitha Tiwana,PK,9.42,91,1.17,32.24,72.11,24,1553378331
Pudozh,RU,0.12,95,8.57,61.81,36.54,88,1553378331
Huaiyuan,CN,3.02,82,2.42,32.97,117.2,20,1553378332
Brownsville,US,26.0,61,8.7,25.91,-97.49,90,1553378294
Samarai,PG,25.12,100,4.52,-10.62,150.67,92,1553378548
Northam,GB,9.44,93,0.5,51.04,-4.21,75,1553378269
Bongor,TD,28.07,30,2.42,10.28,15.37,0,1553378333
